Account_ID,Account_Name,Account_Type,Category,Is_Active,Created_Date
ACC100000,Account_0,Expense,Owner Equity,Yes,2017-07-05
ACC100001,Account_1,Equity,COGS,Yes,2019-09-06
ACC100002,Account_2,Revenue,Owner Equity,Yes,2021-12-25
ACC100003,Account_3,Equity,Accounts Receivable,Yes,2022-04-17
ACC100004,Account_4,Equity,Inventory,Yes,2021-08-30
ACC100005,Account_5,Asset,Fixed Assets,No,2022-01-16
ACC100006,Account_6,Asset,Fixed Assets,Yes,2016-09-28
ACC100007,Account_7,Liability,COGS,Yes,2016-01-29
ACC100008,Account_8,Expense,Service Revenue,Yes,2022-06-28
ACC100009,Account_9,Revenue,Long-Term Debt,Yes,2016-11-05
ACC100010,Account_10,Equity,Owner Equity,Yes,2021-07-04
ACC100011,Account_11,Revenue,Cash,Yes,2021-11-24
ACC100012,Account_12,Liability,Service Revenue,Yes,2019-08-25
ACC100013,Account_13,Revenue,COGS,Yes,2020-02-26
ACC100014,Account_14,Expense,Sales Revenue,Yes,2022-07-06
ACC100015,Account_15,Equity,Sales Revenue,No,2015-07-31
ACC100016,Account_16,Liability,Service Revenue,Yes,2017-08-11
ACC100017,Account_17,Equity,Long-Term Debt,Yes,2019-07-24
ACC100018,Account_18,Revenue,COGS,Yes,2018-09-02
ACC100019,Account_19,Expense,Accounts Receivable,Yes,2017-10-23
ACC100020,Account_20,Equity,Owner Equity,Yes,2021-11-26
ACC100021,Account_21,Equity,Owner Equity,Yes,2021-04-20
ACC100022,Account_22,Equity,COGS,No,2015-09-17
ACC100023,Account_23,Asset,COGS,Yes,2021-12-30
ACC100024,Account_24,Equity,Owner Equity,Yes,2019-11-21
ACC100025,Account_25,Equity,Long-Term Debt,Yes,2021-03-10
ACC100026,Account_26,Asset,Owner Equity,Yes,2016-12-18
ACC100027,Account_27,Equity,COGS,Yes,2016-02-07
ACC100028,Account_28,Revenue,Inventory,Yes,2017-06-11
ACC100029,Account_29,Liability,Operating Expense,Yes,2015-10-13
ACC100030,Account_30,Equity,Operating Expense,Yes,2019-04-15
ACC100031,Account_31,Liability,Sales Revenue,Yes,2015-02-20
ACC100032,Account_32,Revenue,Service Revenue,Yes,2015-02-25
ACC100033,Account_33,Revenue,Accounts Payable,Yes,2020-02-22
ACC100034,Account_34,Asset,Long-Term Debt,Yes,2020-10-19
ACC100035,Account_35,Revenue,Operating Expense,Yes,2016-12-12
ACC100036,Account_36,Liability,Owner Equity,Yes,2020-06-24
ACC100037,Account_37,Asset,Sales Revenue,No,2016-02-28
ACC100038,Account_38,Expense,Inventory,Yes,2021-12-20
ACC100039,Account_39,Revenue,Long-Term Debt,Yes,2018-07-28
ACC100040,Account_40,Asset,Service Revenue,Yes,2020-11-29
ACC100041,Account_41,Equity,COGS,Yes,2017-09-29
ACC100042,Account_42,Equity,COGS,Yes,2017-05-25
ACC100043,Account_43,Liability,Cash,Yes,2020-05-31
ACC100044,Account_44,Equity,Inventory,Yes,2016-03-02
ACC100045,Account_45,Liability,Accounts Receivable,Yes,2021-09-15
ACC100046,Account_46,Asset,COGS,Yes,2019-12-06
ACC100047,Account_47,Equity,Sales Revenue,Yes,2020-10-05
ACC100048,Account_48,Expense,Accounts Payable,Yes,2018-08-30
ACC100049,Account_49,Asset,Sales Revenue,Yes,2015-03-10
ACC100050,Account_50,Asset,Operating Expense,Yes,2021-04-09
ACC100051,Account_51,Expense,Cash,Yes,2018-07-25
ACC100052,Account_52,Liability,Inventory,Yes,2021-07-17
ACC100053,Account_53,Liability,Service Revenue,Yes,2015-04-10
ACC100054,Account_54,Liability,Fixed Assets,Yes,2021-10-19
ACC100055,Account_55,Revenue,Long-Term Debt,Yes,2022-12-26
ACC100056,Account_56,Expense,Long-Term Debt,Yes,2022-04-06
ACC100057,Account_57,Equity,Accounts Receivable,Yes,2023-02-21
ACC100058,Account_58,Liability,Inventory,Yes,2020-05-01
ACC100059,Account_59,Liability,Operating Expense,Yes,2023-01-03
ACC100060,Account_60,Revenue,Service Revenue,Yes,2015-10-21
ACC100061,Account_61,Revenue,Cash,Yes,2016-09-24
ACC100062,Account_62,Asset,Fixed Assets,No,2015-12-06
ACC100063,Account_63,Liability,Fixed Assets,Yes,2020-01-23
ACC100064,Account_64,Equity,Sales Revenue,Yes,2015-10-05
ACC100065,Account_65,Liability,Owner Equity,Yes,2016-04-28
ACC100066,Account_66,Liability,Fixed Assets,Yes,2018-10-09
ACC100067,Account_67,Asset,Long-Term Debt,No,2020-09-12
ACC100068,Account_68,Revenue,Owner Equity,Yes,2016-11-20
ACC100069,Account_69,Expense,Sales Revenue,Yes,2019-09-13
ACC100070,Account_70,Revenue,Accounts Receivable,No,2016-02-06
ACC100071,Account_71,Revenue,Long-Term Debt,No,2019-05-28
ACC100072,Account_72,Revenue,Fixed Assets,No,2022-12-29
ACC100073,Account_73,Expense,COGS,Yes,2016-03-11
ACC100074,Account_74,Expense,Accounts Payable,Yes,2022-01-08
ACC100075,Account_75,Revenue,COGS,Yes,2017-09-14
ACC100076,Account_76,Revenue,Sales Revenue,No,2017-04-18
ACC100077,Account_77,Liability,Sales Revenue,Yes,2019-12-11
ACC100078,Account_78,Revenue,Inventory,Yes,2016-03-09
ACC100079,Account_79,Asset,Cash,Yes,2016-09-22
ACC100080,Account_80,Asset,Fixed Assets,Yes,2021-05-01
ACC100081,Account_81,Liability,Cash,Yes,2015-12-28
ACC100082,Account_82,Equity,Sales Revenue,Yes,2016-05-29
ACC100083,Account_83,Expense,Owner Equity,Yes,2017-06-12
ACC100084,Account_84,Expense,COGS,Yes,2019-10-04
ACC100085,Account_85,Liability,Sales Revenue,Yes,2020-06-21
ACC100086,Account_86,Revenue,Owner Equity,Yes,2021-08-02
ACC100087,Account_87,Expense,Long-Term Debt,Yes,2017-01-12
ACC100088,Account_88,Asset,Cash,Yes,2021-03-06
ACC100089,Account_89,Liability,Service Revenue,Yes,2016-11-30
ACC100090,Account_90,Equity,Inventory,No,2016-09-22
ACC100091,Account_91,Liability,Long-Term Debt,Yes,2015-08-11
ACC100092,Account_92,Expense,COGS,No,2018-07-22
ACC100093,Account_93,Equity,Sales Revenue,Yes,2021-02-19
